SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,P2O5,K2O,TiO2,SO3,Type,group,Research paper,DT
31.33710250145681,21.85243331132148,35.4325235695926,1.202138522487615,1.935646773497008,0.9881986159432092,0.9270729283590932,3.015533920816391,0.2428778627226194,3.066471993803153,coal ash, Ukraine coal,The influence of phosphorus on ash fusion temperature of sludge and coal    10.1016/j.fuproc.2012.12.018,1168.0
44.014547699669535,25.92217672233208,18.22525279807496,1.277709814783718,2.207882559946265,1.093719601454863,0.8586209955346586,3.0562818769626534,0.3999645179796004,2.943843413261687,coal ash, Ukraine coal,The influence of phosphorus on ash fusion temperature of sludge and coal    10.1016/j.fuproc.2012.12.018,1313.0
46.35882026152826,41.11683351817524,2.743852435973845,1.0443020465273587,2.201224901993943,2.2524161787845007,0.1228590642973363,0.4709597464731228,1.374886135313208,2.313845710933168,coal ash, Yangquan coal ,The influence of phosphorus on ash fusion temperature of sludge and coal    10.1016/j.fuproc.2012.12.018,1481.0
41.19588041195881,32.28677132286771,7.01929807019298,0.63993600639936,6.909309069093091,1.02989701029897,1.03989601039896,0.70992900709929,3.66963303669633,5.499450054994499,coal ash, Xiangyuan coal,Effecting mechanisms of iron-rich sludge on ash fusion characteristics of coal with high ash fusion temperature under reducing atmosphere   10.1016/j.wasman.2023.12.011,1481.0
13.71137113711371,5.1005100510051,48.1148114811481,1.56015601560156,13.4013401340134,2.09020902090209,12.69126912691269,1.11011101110111,1.13011301130113,1.09010901090109,coal ash, municipal sewage sludge,Effecting mechanisms of iron-rich sludge on ash fusion characteristics of coal with high ash fusion temperature under reducing atmosphere   10.1016/j.wasman.2023.12.011,1045.0
2.000000000000001,1.130000000000001,67.80000000000003,0.7400000000000004,5.430000000000003,2.350000000000001,18.660000000000007,0.4600000000000001,1.3000000000000007,0.13,coal ash,pharmaceutical sewage sludge,Effecting mechanisms of iron-rich sludge on ash fusion characteristics of coal with high ash fusion temperature under reducing atmosphere   10.1016/j.wasman.2023.12.011,1204.0
1.660046847947856,0.2851614217333741,1.171198696404929,13.34148080252572,22.924941440065176,8.5650269884917,7.393828292086771,32.2537936653427,0.0509216824523882,12.353600162949387,coal ash,Jincheng coal,Influence of biomass addition on Jincheng coal ash fusion temperatures   http://dx.doi.org/10.1016/j.fuel.2015.08.024,1376.0
35.03999999999999,7.3199999999999985,41.38,1.07,5.139999999999999,1.29,0.3099999999999998,1.08,0.4,6.9700000000000015,coal ash,industrial sludge,Regulation of ash fusibility for high ash-fusion-temperature (AFT) coal by industrial sludge addition   https://doi.org/10.1016/j.fuel.2019.01.161,1071.0
33.93106196453478,14.88344291691572,16.88583383144053,1.872883044431161,27.5154413229727,0.2191671647738593,0.2789400278940028,3.068340306834032,0.3785614664275753,0.9663279537756528,coal ash, Shenmu coal,Investigation on improve ash fusion temperature (AFT) of low-AFT coal by biomass addition  https://doi.org/10.1016/j.fuproc.2019.03.005,1062.0
12.40422447711742,5.901843031683578,2.029405674052599,17.3949057775937,44.57444605508386,1.066473389935804,2.319320770345827,13.76061296334645,0.1138952164009111,0.4348726444398425,coal ash, chestnut shell ,Investigation on improve ash fusion temperature (AFT) of low-AFT coal by biomass addition  https://doi.org/10.1016/j.fuproc.2019.03.005,1425.0
90.58030241111568,2.176134041683695,0.6845116469145894,0.398447078054761,1.58357172047405,0.1123825091949325,0.6845116469145894,3.432774826317941,0.0408663669799754,0.306497752349816,coal ash,rice husk,Investigation on improve ash fusion temperature (AFT) of low-AFT coal by biomass addition  https://doi.org/10.1016/j.fuproc.2019.03.005,1438.0
55.08091265453815,24.625590511609207,3.729017991757967,2.834455724193385,7.54849733641572,0.2713840586993668,0.251281535832747,0.3618454115991557,1.507689214996482,3.7893255603578258,coal ash,South African Coals,"Lawal, A.I., Onifade, M., Bada, S.O. et al. Prediction of Thermal Coal Ash Behavior of South African Coals: Comparative Applications of ANN, GPR, and SVR. Nat Resour Res 32, 1399–1413 (2023). https://doi.org/10.1007/s11053-023-10192-6",1280.0
55.10551055105511,24.60246024602461,3.58035803580358,1.560156015601561,9.01090109010901,0.2000200020002,0.9600960096009602,0.6900690069006902,1.820182018201821,2.470247024702471,coal ash,South African Coals,"Lawal, A.I., Onifade, M., Bada, S.O. et al. Prediction of Thermal Coal Ash Behavior of South African Coals: Comparative Applications of ANN, GPR, and SVR. Nat Resour Res 32, 1399–1413 (2023). https://doi.org/10.1007/s11053-023-10192-6",1300.0
46.2036194520271,25.37660499443939,4.691133353553736,2.739864523304014,11.82893539581438,0.5661712668082096,1.041350722879386,0.6672732787382469,1.900717824284704,4.984329188150844,coal ash,South African Coals,"Lawal, A.I., Onifade, M., Bada, S.O. et al. Prediction of Thermal Coal Ash Behavior of South African Coals: Comparative Applications of ANN, GPR, and SVR. Nat Resour Res 32, 1399–1413 (2023). https://doi.org/10.1007/s11053-023-10192-6",1250.0
44.91320145337101,32.19620508679854,5.63181267662495,1.7965280581348413,7.468712151796525,0.2825999192571658,1.554299555914412,0.5147355672184093,1.8974566007266849,3.744448930157448,coal ash,South African Coals,"Lawal, A.I., Onifade, M., Bada, S.O. et al. Prediction of Thermal Coal Ash Behavior of South African Coals: Comparative Applications of ANN, GPR, and SVR. Nat Resour Res 32, 1399–1413 (2023). https://doi.org/10.1007/s11053-023-10192-6",1330.0
58.4983415418635,30.75685998592823,2.573122926927329,1.035279927630918,2.924917077093175,0.2010252286661976,0.2211277515328173,0.4824605487988741,1.6182530907628907,1.68861192079606,coal ash,South African Coals,"Lawal, A.I., Onifade, M., Bada, S.O. et al. Prediction of Thermal Coal Ash Behavior of South African Coals: Comparative Applications of ANN, GPR, and SVR. Nat Resour Res 32, 1399–1413 (2023). https://doi.org/10.1007/s11053-023-10192-6",1600.0
46.81064791562029,28.93018583626318,5.133098945253642,2.03917629331994,8.879959819186336,0.1305876443997991,1.567051732797589,0.4620793571069813,1.536916122551482,4.5102963335007535,coal ash,South African Coals,"Lawal, A.I., Onifade, M., Bada, S.O. et al. Prediction of Thermal Coal Ash Behavior of South African Coals: Comparative Applications of ANN, GPR, and SVR. Nat Resour Res 32, 1399–1413 (2023). https://doi.org/10.1007/s11053-023-10192-6",1300.0
