SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,P2O5,K2O,TiO2,SO3,Type,group,Research paper,FT
59.548577379909965,22.02440692321528,8.367481599050585,2.1516381254701487,1.942451085493885,0.3287224913912728,0.3871238208264095,2.6696250816018527,0.9861674741738184,1.5938060188667773,coal ash,Montana (United States),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1430.0
63.12310231609196,19.66178451545306,9.591600762609456,0.488553469197363,2.133682498127259,0.2293210161538643,0.3051808468482801,1.565365197224204,0.9372250225418802,1.964184355752664,coal ash,Black Thunder (United States),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1440.0
59.500027967776326,22.9995088028051,7.447459993289272,1.1549536887988707,3.056644676390116,0.8263892773302266,0.4350268276835382,1.284388153922882,1.204736175385029,2.090864436618646,coal ash,Illinois (United States),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1450.0
64.25221953265228,22.96717536710645,3.182679818465228,1.4366955920344613,3.322358556579691,0.728324848739692,0.2095186699397456,2.115135177161846,1.067544641303384,0.7183477960172305,coal ash,Wambo (Australia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1480.0
62.18451910867567,24.0045402394503,4.705208884144743,0.9569916374531684,3.120191484612933,0.1694672691323319,0.3133710986283065,1.9538579264668847,1.345769490168518,1.246082861267146,coal ash,Newlands (Australia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1500.0
62.53911462754825,22.65635600813203,5.798592434798961,1.095953896611488,3.218119169141004,0.7870941621118865,0.3578643635319293,0.906652769014958,1.345034327659553,1.29521824144994,coal ash,Moura (Australia),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1500.0
60.26730258178322,28.21850364181806,2.513631289409032,0.7281550957415053,3.491154568623656,0.9874980065535484,0.2427518834137568,1.426386009466236,1.11716946195957,1.007447461231398,coal ash,Pernik (Bulgaria),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1500.0
68.05587178332294,25.52967447445292,0.787522172386482,0.3090276878984928,0.42865130902049,0.0897177158414979,0.3036804299087618,2.761311920899436,1.30589119724847,0.42865130902049,coal ash,Bobov Dol (Bulgaria),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1500.0
59.3188554787111,32.4126655020236,3.955915630115117,0.4075189468209038,0.5665507309461347,0.4770953523756923,0.1550007288185323,0.8846142991965964,1.371649138080116,0.4501341929122366,coal ash,Donbass (Ukraine),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1500.0
57.67963081465881,29.51282752141575,5.20462701560102,1.10673103205309,2.5225491090939807,0.4885569420774904,0.2845310670003828,0.8973494854484516,1.306142028819413,0.9970549838316132,coal ash,Balkan (Bulgaria),influence of mineral and chemical composition of coal ashes on their fusibility https://doi.org/10.1016/0378-3820(95)00032-3,1500.0
